cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;Qt_Operações
b4%;b4 - Banco de Desenvolvimento;set/16;0,29%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,03%;0,75%;0,80%;2,51%;3,96%;4,38%;0,00%;2,19%;0,03%;0,03%;0,07%;0,18%;0,27%;0,48%;0,00%;0,11%;0,00%;0,35%;0,18%;0,18%;0,16%;0,05%;1,50%;0,00%;0,19%;1,25%;1,24%;0,99%;1,84%;2,51%;0,22%;0,00%;1,13%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,03%;0,06%;0,05%;0,02%;0,03%;0,00%;0,04%;20,47%;44,72%;43,35%;47,27%;62,50%;66,26%;54,59%;55,20%;5,13%;1,60%;2,86%;12,29%;27,66%;34,97%;2,33%;8,92%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;17,35%;1,41%;10,87%;36,55%;0,00%;0,00%;0,03%
n1%;n1 - Não Bancário de Crédito;set/16;1,31%;0,29%;0,34%;0,30%;0,20%;0,14%;0,10%;0,00%;0,22%;28,48%;9,95%;4,56%;0,48%;0,03%;0,02%;0,00%;5,64%;2,85%;1,89%;1,90%;1,64%;0,94%;6,01%;0,00%;1,77%;0,32%;0,53%;0,44%;0,46%;0,45%;0,24%;0,25%;0,33%;5,98%;4,20%;5,12%;2,80%;0,37%;0,00%;0,00%;4,54%;0,58%;0,29%;0,21%;0,72%;1,14%;1,57%;0,01%;0,68%;2,79%;1,24%;1,34%;0,32%;0,38%;1,16%;0,74%;1,15%;0,00%;1,21%;0,37%;0,38%;0,33%;0,18%;0,13%;0,00%;0,36%;3,47%;5,99%;6,87%;8,62%;8,60%;1,16%;0,21%;5,52%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;1,65%;0,98%;0,37%;0,74%;0,04%;0,20%;0,00%;0,84%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,03%;0,04%;0,09%;0,02%;0,05%;0,00%;0,05%;0,82%;0,37%;0,48%;0,58%;0,65%;0,33%;0,01%;0,45%;0,06%;0,07%;0,07%;0,37%;1,57%;1,78%;0,00%;0,38%;0,00%;0,76%;0,10%;0,02%;0,08%;0,01%;0,00%;0,17%;0,62%;0,61%;1,14%;0,35%;0,15%;0,00%;7,10%
n2%;n2 - Não Bancário de Mercado de Capitais;set/16;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,05%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
C%;C - Conglomerado;set/16;61,11%;42,93%;73,65%;74,49%;75,84%;77,09%;70,76%;99,80%;74,78%;57,97%;68,86%;70,75%;74,17%;82,51%;81,38%;98,23%;71,92%;76,78%;78,01%;77,75%;78,23%;80,11%;48,19%;100,00%;78,07%;11,16%;19,77%;17,62%;18,38%;19,53%;25,77%;44,28%;26,37%;78,40%;90,02%;88,92%;79,00%;99,79%;100,00%;99,93%;88,46%;63,75%;75,29%;71,66%;77,49%;79,88%;82,11%;99,98%;76,27%;60,85%;63,94%;59,17%;69,00%;67,47%;55,53%;69,81%;63,44%;99,99%;63,82%;74,20%;76,39%;71,63%;69,28%;90,16%;89,41%;73,56%;60,27%;67,86%;66,47%;66,27%;76,40%;96,91%;99,57%;77,02%;76,21%;90,51%;55,64%;90,20%;89,49%;98,51%;98,40%;81,51%;78,46%;85,41%;72,50%;94,77%;98,81%;99,30%;100,00%;82,79%;76,39%;86,17%;82,28%;82,49%;79,67%;99,04%;99,95%;83,66%;64,72%;82,32%;75,63%;83,53%;95,60%;96,14%;85,86%;83,37%;30,62%;37,18%;38,58%;35,93%;23,00%;17,30%;26,47%;27,84%;37,37%;87,39%;71,20%;81,56%;65,10%;57,42%;97,27%;74,93%;67,74%;42,08%;74,41%;81,76%;89,76%;82,50%;94,17%;73,44%;51,20%;67,68%;66,79%;50,20%;85,59%;99,49%;77,19%
I%;I - Instituição independente;set/16;38,89%;57,07%;26,35%;25,51%;24,16%;22,91%;29,24%;0,20%;25,22%;42,03%;31,14%;29,25%;25,83%;17,49%;18,62%;1,77%;28,08%;23,22%;21,99%;22,25%;21,77%;19,89%;51,81%;0,00%;21,93%;88,84%;80,23%;82,38%;81,62%;80,47%;74,23%;55,72%;73,63%;21,60%;9,98%;11,08%;21,00%;0,21%;0,00%;0,07%;11,54%;36,25%;24,71%;28,34%;22,51%;20,12%;17,89%;0,02%;23,73%;39,15%;36,06%;40,83%;31,00%;32,53%;44,47%;30,19%;36,56%;0,01%;36,18%;25,80%;23,61%;28,37%;30,72%;9,84%;10,59%;26,44%;39,73%;32,14%;33,53%;33,73%;23,60%;3,09%;0,43%;22,98%;23,79%;9,49%;44,36%;9,80%;10,51%;1,49%;1,60%;18,49%;21,54%;14,59%;27,50%;5,23%;1,19%;0,70%;0,00%;17,21%;23,61%;13,83%;17,72%;17,51%;20,33%;0,96%;0,05%;16,34%;35,28%;17,68%;24,37%;16,47%;4,40%;3,86%;14,14%;16,63%;69,38%;62,82%;61,42%;64,07%;77,00%;82,70%;73,53%;72,16%;62,63%;12,61%;28,80%;18,44%;34,90%;42,58%;2,73%;25,07%;32,26%;57,92%;25,59%;18,24%;10,24%;17,50%;5,83%;26,56%;48,80%;32,32%;33,21%;49,80%;14,41%;0,51%;22,81%
1%;1 - Público;dez/16;52,71%;60,82%;45,14%;46,05%;48,05%;52,76%;70,32%;99,66%;50,06%;28,08%;27,27%;34,19%;42,10%;56,27%;75,86%;98,51%;38,26%;15,78%;10,79%;11,02%;11,44%;11,57%;6,52%;91,48%;11,31%;88,05%;83,56%;85,45%;85,17%;84,59%;82,03%;74,54%;81,78%;17,09%;21,49%;13,16%;13,12%;0,03%;0,00%;99,94%;19,53%;76,53%;68,97%;62,87%;69,57%;75,37%;83,57%;99,99%;69,98%;31,17%;29,77%;30,48%;25,23%;31,04%;54,57%;83,01%;30,66%;4,31%;49,80%;33,58%;33,20%;43,25%;58,18%;52,79%;89,46%;40,29%;22,52%;14,17%;19,37%;35,79%;70,04%;93,83%;89,34%;50,78%;31,38%;12,59%;40,10%;44,73%;0,29%;0,00%;39,85%;21,44%;36,19%;10,29%;8,31%;36,00%;13,35%;15,71%;1,20%;10,77%;34,80%;24,73%;29,95%;47,58%;56,52%;62,82%;0,00%;37,09%;48,91%;32,84%;39,71%;58,99%;81,34%;79,40%;75,96%;55,42%;82,83%;72,14%;70,44%;72,94%;84,75%;90,68%;90,74%;81,08%;87,18%;32,74%;32,19%;47,90%;52,48%;82,15%;71,69%;40,93%;35,86%;66,31%;42,79%;39,79%;18,96%;19,62%;97,53%;42,64%;60,18%;50,73%;45,79%;63,00%;-48,91%;10,27%;24,02%
2%;2 - Privado Nacional;dez/16;35,11%;28,76%;44,78%;43,81%;42,80%;39,70%;24,01%;0,28%;41,04%;66,06%;64,73%;57,16%;46,02%;32,52%;21,52%;1,48%;52,47%;57,88%;54,08%;53,65%;54,58%;56,47%;55,52%;0,01%;54,33%;9,55%;9,09%;7,68%;8,57%;9,76%;13,13%;21,27%;12,94%;67,38%;60,38%;69,26%;33,55%;7,83%;0,98%;0,05%;62,37%;17,35%;26,44%;28,56%;17,29%;13,08%;10,78%;0,01%;20,69%;50,88%;53,85%;43,07%;48,25%;40,95%;28,92%;15,98%;47,04%;79,72%;42,17%;44,36%;50,31%;44,02%;28,79%;30,23%;1,01%;43,99%;63,32%;54,50%;50,24%;37,33%;17,41%;1,21%;0,07%;29,14%;59,83%;71,56%;34,60%;12,55%;19,43%;90,26%;1,61%;60,03%;43,66%;53,69%;30,43%;41,39%;30,54%;74,30%;0,00%;47,89%;30,09%;42,35%;40,49%;34,48%;35,52%;21,94%;0,00%;38,07%;41,21%;51,27%;46,93%;30,76%;13,48%;18,02%;7,92%;34,24%;6,83%;18,68%;19,96%;18,75%;11,80%;7,95%;5,41%;13,52%;8,53%;52,42%;54,52%;38,05%;35,79%;10,49%;0,63%;46,02%;32,14%;17,13%;34,21%;49,61%;75,26%;10,09%;1,35%;39,46%;30,19%;34,20%;36,89%;25,03%;127,91%;82,08%;63,48%
3%;3 - Privado com Controle Estrangeiro;dez/16;12,18%;10,42%;10,08%;10,14%;9,14%;7,54%;5,67%;0,06%;8,91%;5,86%;8,01%;8,65%;11,87%;11,22%;2,62%;0,02%;9,27%;26,34%;35,13%;35,33%;33,98%;31,96%;37,96%;8,50%;34,36%;2,40%;7,35%;6,87%;6,25%;5,65%;4,84%;4,19%;5,28%;15,53%;18,13%;17,57%;53,33%;92,14%;99,02%;0,00%;18,10%;6,12%;4,59%;8,58%;13,14%;11,55%;5,64%;0,00%;9,33%;17,95%;16,38%;26,44%;26,52%;28,01%;16,51%;1,01%;22,30%;15,97%;8,03%;22,06%;16,48%;12,73%;13,03%;16,98%;9,53%;15,72%;14,16%;31,33%;30,39%;26,88%;12,54%;4,95%;10,59%;20,08%;8,79%;15,85%;25,30%;42,73%;80,28%;9,74%;58,54%;18,53%;20,15%;36,02%;61,26%;22,61%;56,11%;9,99%;98,80%;41,34%;35,11%;32,92%;29,55%;17,94%;7,96%;15,24%;100,00%;24,84%;9,88%;15,88%;13,36%;10,25%;5,18%;2,58%;16,12%;10,34%;10,34%;9,18%;9,59%;8,32%;3,45%;1,37%;3,85%;5,40%;4,29%;14,84%;13,29%;14,05%;11,73%;7,37%;27,68%;13,05%;31,99%;16,56%;22,99%;10,60%;5,79%;70,29%;1,12%;17,89%;9,63%;15,06%;17,32%;11,96%;21,00%;7,65%;12,49%
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/16;92,97%;99,01%;97,35%;97,61%;97,80%;98,16%;97,93%;99,88%;97,81%;72,21%;75,58%;76,01%;81,92%;84,44%;80,94%;98,54%;78,49%;87,32%;81,79%;81,63%;83,15%;86,52%;89,76%;100,00%;82,66%;99,52%;99,48%;99,54%;99,54%;99,57%;99,76%;99,75%;99,67%;88,41%;92,56%;90,73%;86,59%;98,98%;99,83%;99,95%;91,75%;91,07%;80,07%;78,83%;85,10%;88,26%;90,71%;99,99%;83,73%;93,25%;87,86%;86,89%;93,27%;94,72%;93,54%;91,39%;90,21%;100,00%;95,94%;92,53%;91,45%;93,31%;93,45%;91,89%;99,58%;92,69%;85,24%;72,80%;72,68%;71,75%;80,48%;97,80%;99,87%;81,24%;97,53%;94,41%;84,75%;93,37%;92,82%;98,86%;98,39%;92,34%;81,20%;87,93%;71,19%;96,32%;98,68%;99,86%;100,00%;84,36%;99,96%;100,00%;100,00%;99,93%;100,00%;99,72%;54,97%;99,97%;98,38%;96,94%;95,24%;96,84%;98,65%;98,90%;98,21%;97,17%;37,83%;48,94%;49,50%;46,31%;35,40%;35,31%;45,30%;41,79%;97,06%;94,02%;95,53%;84,85%;68,44%;60,64%;100,00%;88,58%;99,95%;99,88%;99,71%;99,94%;100,00%;100,00%;100,00%;99,87%;76,49%;89,01%;79,19%;63,37%;94,23%;100,00%;89,02%
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/16;2,03%;0,02%;0,04%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,07%;0,10%;0,15%;0,11%;0,05%;0,00%;0,00%;0,11%;8,27%;14,35%;14,36%;13,03%;10,20%;2,30%;0,00%;13,46%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,18%;2,44%;3,25%;10,31%;0,00%;0,00%;0,00%;2,94%;1,58%;1,26%;2,40%;6,07%;5,03%;1,90%;0,00%;3,49%;0,08%;0,16%;0,29%;0,24%;0,13%;0,00%;0,00%;0,19%;0,00%;0,73%;2,49%;1,54%;0,76%;1,28%;0,78%;0,00%;1,40%;6,44%;16,50%;14,62%;12,93%;4,56%;0,12%;0,00%;8,83%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;9,81%;5,70%;26,91%;3,05%;1,27%;0,00%;0,00%;10,43%;0,04%;0,00%;0,00%;0,07%;0,00%;0,28%;45,03%;0,03%;0,07%;0,44%;0,63%;0,21%;0,05%;0,00%;0,00%;0,28%;8,38%;6,81%;6,86%;5,02%;1,95%;0,20%;0,05%;3,11%;0,19%;0,20%;0,22%;1,09%;1,32%;0,43%;0,00%;0,49%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,13%;3,83%;5,04%;1,06%;0,02%;0,00%;1,56%
b3S%;b3S - Cooperativa de Crédito Singulares;dez/16;3,38%;0,66%;2,25%;2,06%;1,97%;1,70%;1,95%;0,12%;1,95%;6,41%;14,30%;19,19%;17,48%;15,47%;19,01%;1,46%;16,35%;0,97%;1,82%;2,00%;2,18%;2,40%;2,50%;0,00%;2,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,43%;0,56%;0,47%;0,23%;0,33%;0,17%;0,05%;0,52%;5,51%;17,52%;17,83%;5,39%;1,77%;1,56%;0,00%;9,96%;3,76%;10,54%;11,18%;5,99%;4,49%;4,71%;6,54%;8,21%;0,00%;2,71%;4,03%;5,77%;5,33%;4,90%;5,73%;0,42%;5,05%;2,92%;3,32%;4,32%;4,72%;3,58%;0,57%;0,05%;3,04%;2,47%;5,57%;15,23%;6,63%;7,18%;1,14%;1,61%;7,64%;7,87%;5,41%;1,64%;0,07%;0,01%;0,00%;0,00%;4,43%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,52%;2,52%;3,91%;2,70%;1,24%;1,00%;1,77%;2,40%;0,03%;0,06%;0,03%;0,02%;0,00%;0,00%;0,00%;0,01%;0,64%;2,11%;1,97%;0,65%;0,10%;0,04%;0,00%;1,43%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,35%;5,46%;2,78%;0,42%;5,60%;0,00%;1,99%
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/16;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,45%;0,60%;0,10%;0,06%;0,01%;0,00%;0,32%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,13%;0,12%;0,00%;0,00%;0,02%;0,07%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,09%;0,04%;0,11%;0,05%;0,00%;0,00%;0,00%
b4%;b4 - Banco de Desenvolvimento;dez/16;0,29%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,06%;0,91%;0,73%;2,67%;3,89%;4,35%;0,01%;2,16%;0,03%;0,02%;0,07%;0,17%;0,27%;0,45%;0,00%;0,11%;0,00%;0,14%;0,13%;0,17%;0,17%;0,07%;1,53%;0,00%;0,18%;1,26%;1,04%;1,07%;1,87%;2,49%;0,25%;0,00%;1,15%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,02%;0,05%;0,05%;0,04%;0,02%;0,00%;0,04%;52,82%;43,78%;43,12%;48,05%;61,99%;64,15%;54,64%;54,62%;2,05%;3,62%;2,21%;13,07%;28,59%;37,20%;0,00%;9,15%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;16,35%;1,02%;11,65%;34,75%;0,00%;0,00%;0,03%
n1%;n1 - Não Bancário de Crédito;dez/16;1,33%;0,30%;0,36%;0,30%;0,20%;0,14%;0,12%;0,00%;0,22%;21,32%;10,02%;4,64%;0,50%;0,04%;0,05%;0,00%;5,06%;3,45%;2,03%;2,02%;1,65%;0,88%;5,44%;0,00%;1,84%;0,48%;0,52%;0,46%;0,46%;0,43%;0,24%;0,25%;0,33%;5,98%;4,44%;5,55%;2,87%;0,68%;0,00%;0,00%;4,78%;0,74%;0,24%;0,21%;0,76%;1,05%;1,48%;0,00%;0,65%;2,88%;1,43%;1,57%;0,34%;0,39%;1,29%;0,75%;1,27%;0,00%;0,48%;0,37%;0,46%;0,33%;0,24%;0,07%;0,00%;0,37%;4,13%;6,34%;7,29%;8,71%;8,88%;1,26%;0,08%;5,74%;0,00%;0,02%;0,01%;0,00%;0,00%;0,00%;0,00%;0,02%;1,13%;0,96%;0,26%;0,55%;0,03%;0,14%;0,00%;0,78%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,02%;0,04%;0,08%;0,02%;0,08%;0,00%;0,05%;0,95%;0,41%;0,48%;0,60%;0,66%;0,34%;0,01%;0,47%;0,06%;0,05%;0,07%;0,34%;1,56%;1,69%;0,00%;0,35%;0,05%;0,12%;0,29%;0,06%;0,00%;0,00%;0,00%;0,13%;0,60%;0,64%;1,22%;0,35%;0,15%;0,00%;7,39%
n2%;n2 - Não Bancário de Mercado de Capitais;dez/16;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,32%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
C%;C - Conglomerado;dez/16;60,74%;47,38%;74,00%;74,21%;75,38%;76,51%;70,54%;99,78%;74,54%;55,85%;68,53%;67,43%;74,70%;82,64%;79,85%;97,90%;70,95%;77,58%;78,36%;78,05%;78,72%;81,69%;49,75%;96,44%;78,53%;13,37%;20,25%;17,67%;18,45%;19,91%;25,63%;44,00%;26,39%;79,09%;89,96%;88,60%;79,89%;99,66%;99,83%;99,95%;88,55%;64,53%;75,03%;72,10%;77,20%;79,57%;81,77%;99,98%;75,95%;66,45%;64,74%;54,45%;67,56%;67,42%;54,96%;75,81%;62,70%;99,99%;70,00%;70,28%;75,51%;68,59%;73,54%;89,21%;88,16%;72,10%;70,08%;67,78%;64,38%;65,19%;77,30%;96,47%;99,76%;76,34%;76,55%;89,85%;58,31%;79,30%;92,53%;98,86%;98,39%;80,96%;73,84%;86,43%;69,40%;93,79%;98,68%;99,86%;100,00%;82,70%;79,91%;85,63%;81,81%;81,82%;76,57%;86,21%;100,00%;82,27%;67,69%;87,26%;75,09%;81,48%;97,18%;95,66%;89,43%;84,05%;28,96%;36,50%;38,38%;35,06%;23,15%;17,83%;26,08%;27,91%;34,72%;80,63%;72,72%;80,96%;63,96%;55,46%;100,00%;73,26%;72,49%;40,12%;72,70%;80,64%;89,58%;83,36%;99,58%;72,48%;40,48%;68,05%;65,37%;52,93%;153,02%;99,53%;76,91%
